"Date","Workout Name","Exercise Name","Set Order","Weight","Reps","Distance","Seconds","Notes","Workout Notes","RPE"
"2018-04-12 13:03:06","BLS P1 5 Upper Body Abs","Incline Barbell Bench Press",1,145,6,0,0,"","",""
"2018-04-13 16:18:24","BLS P1 5 Chest Abs","Air Bicycles",21,0,0,0,0,"","",""
"2018-04-13 16:18:24","BLS P1 5 Chest Abs","Captains Chair Leg Raise",20,0,0,0,0,"","",""
"2018-04-13 16:18:24","BLS P1 5 Chest Abs","Cable Crunch",19,0,0,0,0,"","",""
"2018-04-13 16:18:24","BLS P1 5 Chest Abs","Air Bicycles",18,0,0,0,0,"","",""
"2018-04-13 16:18:24","BLS P1 5 Chest Abs","Captains Chair Leg Raise",17,0,0,0,0,"","",""
"2018-04-13 16:18:24","BLS P1 5 Chest Abs","Cable Crunch",16,0,0,0,0,"","",""
"2018-04-13 16:18:24","BLS P1 5 Chest Abs","Air Bicycles",15,153,20,0,0,"","",""
"2018-04-13 16:18:24","BLS P1 5 Chest Abs","Captains Chair Leg Raise",14,153,20,0,0,"","",""
"2018-04-13 16:18:24","BLS P1 5 Chest Abs","Cable Crunch",13,180,12,0,0,"","",""
"2018-04-13 16:18:24","BLS P1 5 Chest Abs","Face Pull",12,70,12,0,0,"","",""
"2018-04-13 16:18:24","BLS P1 5 Chest Abs","Face Pull",11,50,12,0,0,"","",""
"2018-04-13 16:18:24","BLS P1 5 Chest Abs","Face Pull",10,50,12,0,0,"","",""
"2018-04-13 16:18:24","BLS P1 5 Chest Abs","Bench Press (Barbell)",9,175,5,0,0,"","",""
"2018-04-13 16:18:24","BLS P1 5 Chest Abs","Bench Press (Barbell)",8,175,6,0,0,"","",""
"2018-04-13 16:18:24","BLS P1 5 Chest Abs","Bench Press (Barbell)",7,185,4,0,0,"","",""
"2018-04-13 16:18:24","BLS P1 5 Chest Abs","Incline Dumbbell Bench Press",6,120,6,0,0,"","",""
"2018-04-13 16:18:24","BLS P1 5 Chest Abs","Incline Dumbbell Bench Press",5,120,6,0,0,"","",""
"2018-04-13 16:18:24","BLS P1 5 Chest Abs","Incline Dumbbell Bench Press",4,120,6,0,0,"","",""
"2018-04-13 16:18:24","BLS P1 5 Chest Abs","Incline Barbell Bench Press",3,155,6,0,0,"","",""
"2018-04-13 16:18:24","BLS P1 5 Chest Abs","Incline Barbell Bench Press",2,155,6,0,0,"","",""
"2018-04-13 16:18:24","BLS P1 5 Chest Abs","Incline Barbell Bench Press",1,155,6,0,0,"","",""
"2018-04-14 15:44:11","BLS P1 5 Back Calves","Seated Calf Raise",20,110,12,0,0,"","",""
"2018-04-14 15:44:11","BLS P1 5 Back Calves","Seated Calf Raise",19,110,12,0,0,"","",""
"2018-04-14 15:44:11","BLS P1 5 Back Calves","Seated Calf Raise",18,100,12,0,0,"","",""
"2018-04-14 15:44:11","BLS P1 5 Back Calves","Standing Calf Raise",17,230,12,0,0,"","",""
"2018-04-14 15:44:11","BLS P1 5 Back Calves","Standing Calf Raise",16,230,12,0,0,"","",""
"2018-04-14 15:44:11","BLS P1 5 Back Calves","Standing Calf Raise",15,230,12,0,0,"","",""
"2018-04-14 15:44:11","BLS P1 5 Back Calves","Barbell Shrug",14,135,12,0,0,"","",""
"2018-04-14 15:44:11","BLS P1 5 Back Calves","Barbell Shrug",13,135,12,0,0,"","",""
"2018-04-14 15:44:11","BLS P1 5 Back Calves","Close Grip Lat Pulldown",12,160,8,0,0,"","",""
"2018-04-14 15:44:11","BLS P1 5 Back Calves","Close Grip Lat Pulldown",11,160,8,0,0,"","",""
"2018-04-14 15:44:11","BLS P1 5 Back Calves","Close Grip Lat Pulldown",10,160,6,0,0,"","",""
"2018-04-14 15:44:11","BLS P1 5 Back Calves","Wide-Grip Pull-Up",9,193,5,0,0,"","",""
"2018-04-14 15:44:11","BLS P1 5 Back Calves","Wide-Grip Pull-Up",8,193,6,0,0,"","",""
"2018-04-14 15:44:11","BLS P1 5 Back Calves","Wide-Grip Pull-Up",7,193,4,0,0,"","",""
